algo,test_rmse,test_mae,fit_time,test_time
svd,1.1690860709713076,0.9287794770766293,12.04575867652893,0.6186581611633301
svdpp,1.1713208551501748,0.9309377235481053,92.93608570098877,1.2182945251464843
bals,1.1783368459041772,0.9404189180335258,1.3762824535369873,1.073721981048584
bsdg,1.227042408052045,0.9827472022135293,2.4836452484130858,0.9809205532073975
knb,1.2352457374939927,0.9594410938038582,2.916237783432007,2.8708770751953123
knnm,1.2442080614532753,0.963208452442111,2.567595195770264,2.764932870864868
knnzs,1.2473234782107219,0.9625238553679883,2.6257500648498535,2.8729913234710693
cocluster,1.344705427751945,0.9739393677955546,15.595886707305908,0.6163547039031982
knbp,1.3670665347686348,1.085745012259509,2.853018283843994,2.699485015869141
knbci,1.3677913343245685,1.0740969051286076,2.235754871368408,2.4558791637420656
slope,1.384195744270182,1.0122361069935961,2.0291957378387453,2.6295777320861817
nmf,1.3877413126629374,1.0507471884989839,19.65586123466492,0.6021389484405517
pmf,1.553758755967931,1.234695589315236,12.117982769012452,0.5454163551330566
