name,website,price,review_count,stars,categories,hours
Lago,https://www.yelp.com/biz/lago-las-vegas?adjust_creative=EG_bKCcR3D_Z5jnIRcZ-pA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EG_bKCcR3D_Z5jnIRcZ-pA,$$$,1192,4.0,"['Tapas/Small Plates', 'Italian', 'Seafood']","['Monday: 11:30 - 14:15', 'Monday: 17:00 - 22:30', 'Tuesday: 11:30 - 14:15', 'Tuesday: 17:00 - 22:30', 'Wednesday: 11:30 - 14:15', 'Wednesday: 17:00 - 22:30', 'Thursday: 11:30 - 14:15', 'Thursday: 17:00 - 22:30', 'Friday: 11:30 - 14:15', 'Friday: 17:00 - 22:45', 'Saturday: 11:30 - 14:15', 'Saturday: 17:00 - 22:45', 'Sunday: 10:00 - 14:15', 'Sunday: 17:00 - 22:30']"
Gordon Ramsay Hell's Kitchen,https://www.yelp.com/biz/gordon-ramsay-hells-kitchen-las-vegas-2?adjust_creative=EG_bKCcR3D_Z5jnIRcZ-pA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EG_bKCcR3D_Z5jnIRcZ-pA,$$$,4513,4.5,['American (New)'],"['Monday: 11:00 - 00:00', 'Tuesday: 11:00 - 00:00', 'Wednesday: 11:00 - 00:00', 'Thursday: 11:00 - 00:00', 'Friday: 11:00 - 00:00', 'Saturday: 11:00 - 00:00', 'Sunday: 11:00 - 00:00']"
Joes Seafood Prime Steak & Stone Crab,https://www.yelp.com/biz/joes-seafood-prime-steak-and-stone-crab-las-vegas-2?adjust_creative=EG_bKCcR3D_Z5jnIRcZ-pA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=EG_bKCcR3D_Z5jnIRcZ-pA,$$$,2803,4.5,"['Seafood', 'Steakhouses', 'Wine Bars']","['Monday: 11:30 - 22:00', 'Tuesday: 11:30 - 22:00', 'Wednesday: 11:30 - 22:00', 'Thursday: 11:30 - 22:00', 'Friday: 11:30 - 23:00', 'Saturday: 11:30 - 23:00', 'Sunday: 11:30 - 22:00']"
