name,website,price,review_count,stars,categories,hours,latitude,longitude
The Perq,https://www.yelp.com/biz/the-perq-las-vegas?adjust_creative=cc9srahXFHZd3jw8ZADnWA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=cc9srahXFHZd3jw8ZADnWA,$$,111,3.5,"['Coffee & Tea', 'Gelato', 'Ice Cream & Frozen Yogurt']","['Monday: 05:00 - 00:00', 'Tuesday: 05:00 - 00:00', 'Wednesday: 05:00 - 00:00', 'Thursday: 05:00 - 00:00', 'Friday: 05:00 - 00:00', 'Saturday: 05:00 - 00:00', 'Sunday: 05:00 - 00:00']",36.142318,-115.156539
Benihana,https://www.yelp.com/biz/benihana-las-vegas?adjust_creative=cc9srahXFHZd3jw8ZADnWA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=cc9srahXFHZd3jw8ZADnWA,$$$,510,3.5,['Teppanyaki'],"['Monday: 17:00 - 22:00', 'Tuesday: 17:00 - 22:00', 'Wednesday: 17:00 - 22:00', 'Thursday: 17:00 - 22:00', 'Friday: 17:00 - 22:00', 'Saturday: 17:00 - 22:00', 'Sunday: 17:00 - 22:00']",36.1351505653965,-115.152191373155
Art of Flavors,https://www.yelp.com/biz/art-of-flavors-las-vegas?adjust_creative=cc9srahXFHZd3jw8ZADnWA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=cc9srahXFHZd3jw8ZADnWA,$,346,5.0,"['Desserts', 'Gelato', 'Ice Cream & Frozen Yogurt']","['Tuesday: 13:00 - 22:00', 'Wednesday: 13:00 - 22:00', 'Thursday: 13:00 - 22:00', 'Friday: 12:30 - 23:00', 'Saturday: 12:30 - 23:00', 'Sunday: 13:00 - 22:00']",36.151555,-115.15261
