name,website,price,review_count,stars,categories,hours,latitude,longitude
M&M Soul Food Cafe,https://www.yelp.com/biz/m-and-m-soul-food-cafe-las-vegas-2?adjust_creative=cc9srahXFHZd3jw8ZADnWA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=cc9srahXFHZd3jw8ZADnWA,$$,624,2.5,"['Soul Food', 'Breakfast & Brunch', 'Coffee & Tea']","['Monday: 10:00 - 21:00', 'Tuesday: 10:00 - 21:00', 'Wednesday: 10:00 - 21:00', 'Thursday: 10:00 - 21:00', 'Friday: 10:00 - 22:00', 'Saturday: 10:00 - 22:00', 'Sunday: 10:00 - 21:00']",36.1453494841981,-115.156019926071
Bacchanal Buffet,https://www.yelp.com/biz/bacchanal-buffet-las-vegas-7?adjust_creative=cc9srahXFHZd3jw8ZADnWA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=cc9srahXFHZd3jw8ZADnWA,$$$,10027,4.0,['Buffets'],"['Monday: 07:30 - 22:00', 'Tuesday: 07:30 - 22:00', 'Wednesday: 07:30 - 22:00', 'Thursday: 07:30 - 22:00', 'Friday: 07:30 - 22:00', 'Saturday: 08:00 - 22:00', 'Sunday: 08:00 - 22:00']",36.1159291,-115.1762385
Rollin Smoke Barbeque,https://www.yelp.com/biz/rollin-smoke-barbeque-las-vegas?adjust_creative=cc9srahXFHZd3jw8ZADnWA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=cc9srahXFHZd3jw8ZADnWA,$$,3243,4.5,"['Barbeque', 'Burgers', 'Soul Food']","['Monday: 10:00 - 20:00', 'Tuesday: 10:00 - 20:00', 'Wednesday: 10:00 - 20:00', 'Thursday: 10:00 - 20:00', 'Friday: 10:00 - 22:00', 'Saturday: 10:00 - 22:00', 'Sunday: 10:00 - 20:00']",36.131985,-115.177125
